frame,cx,cy,x,y,w,h,yolo_conf,group_id
373,157.5,225.5,150.0,216.0,15.0,19.0,0.79,5.0
374,153.5,236.5,146.0,227.0,15.0,19.0,,5.0
375,147.5,249.5,140.0,240.0,15.0,19.0,,5.0
376,141.5,268.0,133.0,258.0,17.0,20.0,,5.0
377,134.5,261.0,126.0,251.0,17.0,20.0,0.525,5.0
378,128.5,249.0,119.0,240.0,19.0,18.0,0.616,5.0
379,123.0,240.0,114.0,231.0,18.0,18.0,0.594,5.0
380,118.0,231.0,109.0,222.0,18.0,18.0,,5.0
381,114.0,220.0,105.0,210.0,18.0,20.0,0.687,5.0
382,113.0,215.5,105.0,208.0,16.0,15.0,0.708,5.0
383,111.0,207.5,102.0,200.0,18.0,15.0,0.797,5.0
384,109.5,202.0,100.0,193.0,19.0,18.0,0.788,5.0
385,109.0,199.0,99.0,191.0,20.0,16.0,0.842,5.0
386,110.0,198.0,100.0,190.0,20.0,16.0,0.832,5.0
387,112.5,200.0,103.0,192.0,19.0,16.0,0.855,5.0
388,116.5,205.5,108.0,198.0,17.0,15.0,0.82,5.0
389,121.0,213.0,113.0,205.0,16.0,16.0,0.776,5.0
390,126.5,222.5,119.0,214.0,15.0,17.0,0.749,5.0
391,,,,,,,,
392,147.5,250.5,137.0,241.0,21.0,19.0,,5.0
393,156.5,263.5,146.0,254.0,21.0,19.0,0.68,5.0
394,164.5,264.5,154.0,255.0,21.0,19.0,,5.0
395,171.0,251.5,162.0,243.0,18.0,17.0,,5.0
396,181.0,243.5,172.0,235.0,18.0,17.0,0.779,5.0
397,185.5,237.0,177.0,229.0,17.0,16.0,0.762,5.0
398,189.5,232.0,181.0,224.0,17.0,16.0,,5.0
399,193.5,226.5,185.0,218.0,17.0,17.0,0.668,5.0
400,198.0,223.0,189.0,214.0,18.0,18.0,0.688,5.0
401,199.5,222.0,191.0,213.0,17.0,18.0,0.692,5.0
402,202.0,223.5,194.0,215.0,16.0,17.0,0.571,5.0
403,202.0,227.5,194.0,219.0,16.0,17.0,,5.0
404,198.0,234.5,190.0,226.0,16.0,17.0,,5.0
405,,,,,,,,
406,,,,,,,,
407,167.0,263.5,160.0,256.0,14.0,15.0,,6.0
408,165.0,259.5,158.0,252.0,14.0,15.0,,6.0
409,155.0,251.5,148.0,244.0,14.0,15.0,,6.0
410,149.0,244.5,142.0,237.0,14.0,15.0,0.648,6.0
411,144.5,235.5,136.0,227.0,17.0,17.0,0.686,6.0
412,144.5,230.0,136.0,222.0,17.0,16.0,0.706,6.0
413,145.0,225.0,137.0,217.0,16.0,16.0,0.755,6.0
414,148.0,221.0,140.0,214.0,16.0,14.0,0.825,6.0
415,153.0,218.0,145.0,211.0,16.0,14.0,0.75,6.0
416,161.0,217.5,154.0,210.0,14.0,15.0,0.614,6.0
417,169.0,220.5,162.0,213.0,14.0,15.0,,6.0
418,188.5,234.5,181.0,227.0,15.0,15.0,,6.0
419,187.5,237.5,180.0,230.0,15.0,15.0,0.66,6.0
420,197.5,245.5,190.0,237.0,15.0,17.0,0.554,6.0
421,205.5,254.5,198.0,246.0,15.0,17.0,,6.0
422,213.5,261.5,206.0,253.0,15.0,17.0,,6.0
423,212.5,259.5,205.0,251.0,15.0,17.0,,6.0
424,229.5,243.5,224.0,235.0,11.0,17.0,,6.0
425,233.5,236.5,228.0,228.0,11.0,17.0,,6.0
426,236.5,230.5,231.0,222.0,11.0,17.0,0.56,6.0
427,238.5,224.5,233.0,216.0,11.0,17.0,,6.0
428,241.5,219.5,236.0,211.0,11.0,17.0,,6.0
429,245.5,216.5,240.0,208.0,11.0,17.0,,6.0
430,245.5,209.5,240.0,201.0,11.0,17.0,,6.0
431,247.5,204.5,242.0,196.0,11.0,17.0,,6.0
432,249.5,204.5,244.0,196.0,11.0,17.0,,6.0
433,252.5,202.5,247.0,194.0,11.0,17.0,,6.0
434,251.5,198.5,246.0,190.0,11.0,17.0,,6.0
435,253.5,197.5,248.0,189.0,11.0,17.0,,6.0
436,260.5,196.5,255.0,188.0,11.0,17.0,,6.0
437,258.5,189.5,253.0,181.0,11.0,17.0,,6.0
